NIT,FRACASO,ACTIVOS,TAMA¥O,TIPO.COMERCIO,REGION,ZONA,B11,B12,B13,B14,B21,B22,B23,B24,B31,B32,B33,B41,B42,B43,B44,B51,B52,B53,B61,B62,B63,B64,B65,B66,B67,B68,B69,B610,B611,A1,A2,A3,A4,A5
800000439,0,4391.502913,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.013263338,-0.014149121,-0.019776071,-0.049727472,0.051357677,0.054787561,0.076575974,0.192552384,0.097446212,0.187087068,0.284533279,0.12172614,0.37907799,0.611137257,0.513691045,1.249162362,3.890125471,6.271534273,0.114105677,0.22003385,0.217531581,0.355346442,0.572878023,0.48153227,0.670676115,0.93739666,0.2974892,0.923096744,0.684945796,0.513691045,0.185772996,0.073988056,2.514527378,1.066784257
800001047,0,7528.720388,MEDIANA,POR MENOR,VALLE,OTRAS,-0.006325686,-0.015650689,-0.035168283,-0.0282006,0.014864952,0.036778105,0.082643184,0.066269583,0.554977159,0,0.554977159,0.064919356,0.304218816,0.854556978,0.299579818,0.116976627,0.54816457,1.539805671,0.026239066,0.096604136,0.222435347,0.122958978,0.345394325,0.121083991,0.179869064,0.404179399,0.130266953,0.60986963,-0.503745595,0.299579818,0.225641769,0.057649906,0.801875956,2.474148865
800002609,0,13575.99612,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,0.016539094,0.017103904,0.041652707,0.029020717,0.034650885,0.035834212,0.087266157,0.060801006,0.589368738,0,0.589368738,0.036412083,0.423890459,0.965260913,0.375892175,0.061781497,0.719227933,1.637787774,0.035209673,0.371157328,0.523493165,0.409892627,0.933385792,0.363479357,0.39707128,0.966977715,0.071542313,0.825694557,-0.332294748,0.375892175,0.1722421,0.061391276,0.696730648,1.034149996
800002725,0,2776.36699,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.056263845,-0.159556133,-0.38381048,-0.273079728,0.011525258,0.032683967,0.078620915,0.055938488,0.500754214,0.08352985,0.584284064,0.312465482,0.797655596,0.830520153,0.329765939,0.62398972,1.592908404,1.658538521,0.110183853,0.109264907,0.01158894,0.281275123,0.292864063,0.116284466,0.14659278,0.35262728,0.440071084,1.123404609,0.418150869,0.329765939,0.188738747,0.062006846,0.711496278,2.835855464
800003215,0,8652.706796,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,0.008977961,0.012726709,0.02352328,0.027728612,0.12797825,0.181415566,0.335317576,0.395263377,0.458973882,0,0.458973882,0.152054278,0.592745487,0.984525763,0.525551882,0.331291788,1.291457991,2.145058363,0.107265549,0.272939509,0.276378456,0.418147855,0.694526311,0.370746631,0.381662815,0.705442495,0.274596247,1.014075303,0.185210065,0.525551882,0.26819768,0.270285677,1.178773216,1.417549987
800003383,0,3674.792233,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.007184614,-0.027144163,-0.058068153,-0.050970506,0.024580166,0.092866233,0.198664095,0.174381464,0.532546468,0,0.532546468,0.024638383,0.491776451,0.960922013,0.428375544,0.046265226,0.923443269,1.804390922,0.006521375,0.123643772,0.124175122,0.130165147,0.254340269,0.113383969,0.12372727,0.264683571,0.021695087,0.433028953,-0.03589964,0.428375544,0.105471014,0.153790038,0.877770411,3.778096228
800003588,0,15818.93204,MEDIANA,POR MAYOR,ANTIOQUIA,OTRAS,-0.003431152,-0.001459781,-0.004177009,-0.002244022,0.037746525,0.016059234,0.04595179,0.024686765,0.312524598,0.337995361,0.650519959,0.030950743,0.169573472,0.232461849,-0.080062749,0.099034582,0.5425924,0.743819367,0.072748366,0.325826651,0.147816375,0.398575017,0.546391392,-0.188183985,0.821437527,2.350456193,0.176409114,0.966513333,-0.814774671,-0.080062749,0.18499424,0.025583373,0.53723185,0.425449325
800003772,0,1287.98835,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,0.008607643,0.01362772,0.036280019,0.021826215,0.002647272,0.004191192,0.011157884,0.006712631,0.210627035,0.413746916,0.624373951,0.093250694,0.555864223,0.886739901,0.676112866,0.442728989,2.63909248,4.210000402,0.058899706,0.290646356,0.208990188,0.351099149,0.560089337,0.427051502,0.237255755,0.631627534,0.232304889,1.384761561,0.860050293,0.676112866,0.025101214,0.018154981,0.601604294,1.583211539
800004254,0,5539.829126,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,0.012888865,0.025835956,0.04893822,0.054729081,0.056264664,0.112783506,0.213633437,0.238912689,0.256082801,0.215987171,0.472069972,0.198226555,0.744764189,0.891667342,0.635584541,0.774072116,2.908294455,3.481949352,0.098889909,0.184339993,0.07328604,0.371542866,0.444828907,0.31707607,0.263370123,0.498873163,0.596861007,2.242488162,1.471421752,0.635584541,0.300503463,0.168333554,1.118330036,2.00451753
800004331,0,1172.71068,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.197409027,-0.402636663,-1.394142829,-0.56614173,-0.023669841,-0.048277154,-0.167161251,-0.067881825,0.245425062,0.465769046,0.711194108,0.186748779,0.710419033,0.732289752,0.48686469,0.76091976,2.894647457,2.983761091,0.091561197,0.255095152,0.010723011,0.348311872,0.359034883,0.238705248,0.141598854,0.490290738,0.25921195,0.986079286,0.645423196,0.48686469,0.067007762,-0.045111285,0.406085889,2.03960614
